Date,STI,HBAN,SP500,VIX,DOW,spread
2002-01-02,62.0,17.25,1154.67,22.71,1979.25,44.75
2002-01-03,62.3,17.45,1165.27,21.34,2044.27,44.849999999999994
2002-01-04,62.3,17.77,1172.51,20.45,2059.38,44.53
2002-01-07,62.38,17.71,1164.89,21.94,2037.1,44.67
2002-01-08,60.99,17.74,1160.71,21.83,2055.74,43.25
2002-01-09,61.8,17.64,1155.14,22.13,2044.89,44.16
2002-01-10,61.93,17.8,1156.55,22.36,2047.24,44.129999999999995
2002-01-11,61.59,17.72,1145.6,22.6,2022.46,43.870000000000005
2002-01-14,60.27,17.46,1138.41,23.58,1990.74,42.81
2002-01-15,61.02,17.83,1146.19,22.7,2000.91,43.190000000000005
2002-01-16,59.8,17.54,1127.57,23.45,1944.44,42.26
2002-01-17,60.53,17.79,1138.88,22.25,1985.82,42.74
2002-01-18,60.28,17.38,1127.58,22.52,1930.34,42.900000000000006
2002-01-22,60.28,17.21,1119.31,23.61,1882.53,43.07
2002-01-23,60.54,17.6,1128.18,21.88,1922.38,42.94
2002-01-24,61.1,17.75,1132.15,21.15,1942.58,43.35
2002-01-25,63.17,17.76,1133.28,21.01,1937.7,45.41
2002-01-28,62.97,17.75,1133.06,21.14,1943.91,45.22
2002-01-29,60.94,17.33,1100.64,24.35,1892.99,43.61
2002-01-30,61.09,17.24,1113.57,23.22,1913.44,43.85000000000001
2002-01-31,61.6,17.51,1130.2,21.09,1934.03,44.09
2002-02-01,61.54,17.34,1122.2,21.12,1911.24,44.2
2002-02-04,59.81,16.99,1094.44,24.87,1855.53,42.82000000000001
2002-02-05,59.64,16.98,1090.02,25.45,1838.52,42.66
2002-02-06,58.85,16.83,1083.51,26.09,1812.71,42.02
2002-02-07,59.7,17.03,1080.17,25.11,1782.11,42.67
2002-02-08,60.61,17.31,1096.22,23.26,1818.88,43.3
2002-02-11,61.29,17.61,1111.94,21.78,1846.66,43.68
2002-02-12,61.17,17.83,1107.5,21.62,1834.21,43.34
2002-02-13,61.65,18.14,1118.51,20.85,1859.16,43.51
2002-02-14,62.1,18.1,1116.48,21.77,1843.37,44.0
2002-02-15,61.85,18.18,1104.18,22.37,1805.2,43.67
2002-02-19,60.63,17.85,1083.34,24.43,1750.61,42.78
2002-02-20,61.48,17.9,1097.98,22.66,1775.57,43.58
2002-02-21,60.85,17.87,1080.95,23.8,1716.24,42.980000000000004
2002-02-22,61.32,18.06,1089.84,22.86,1724.54,43.260000000000005
2002-02-25,62.6,18.16,1109.43,21.84,1769.88,44.44
2002-02-26,62.71,18.26,1109.38,21.68,1766.86,44.45
2002-02-27,62.4,18.32,1109.89,21.49,1751.88,44.08
2002-02-28,62.79,18.45,1106.73,21.59,1731.49,44.34
2002-03-01,63.48,18.8,1131.78,19.96,1802.74,44.67999999999999
2002-03-04,65.42,19.19,1153.84,20.5,1859.32,46.230000000000004
2002-03-05,64.72,19.35,1146.14,20.3,1866.29,45.37
2002-03-06,65.62,19.6,1162.77,19.94,1890.4,46.02
2002-03-07,65.5,19.64,1157.54,20.04,1881.63,45.86
2002-03-08,66.29,19.74,1164.31,19.27,1929.67,46.55000000000001
2002-03-11,67.89,19.99,1168.26,19.84,1929.49,47.900000000000006
2002-03-12,67.01,19.98,1165.58,19.59,1897.12,47.03
2002-03-13,66.49,19.87,1154.09,19.46,1862.03,46.61999999999999
2002-03-14,66.18,19.89,1153.04,19.2,1854.14,46.290000000000006
2002-03-15,67.85,20.16,1166.16,18.42,1868.3,47.69
2002-03-18,67.8,20.06,1165.55,18.93,1877.06,47.739999999999995
2002-03-19,68.2,20.0,1170.29,18.16,1880.87,48.2
2002-03-20,67.07,19.65,1151.85,18.46,1832.87,47.419999999999995
2002-03-21,67.0,19.4,1153.59,18.15,1868.83,47.6
2002-03-22,67.06,19.6,1148.7,17.77,1851.39,47.46
2002-03-25,66.35,19.4,1131.87,18.48,1812.49,46.949999999999996
2002-03-26,66.82,19.52,1138.49,18.13,1824.17,47.3
2002-03-27,67.39,19.94,1144.58,17.7,1826.75,47.45
2002-03-28,66.73,19.7,1147.39,17.4,1845.35,47.03
2002-04-01,66.34,19.65,1146.54,18.73,1862.62,46.690000000000005
2002-04-02,66.87,19.81,1136.76,19.16,1804.4,47.06
2002-04-03,65.91,19.61,1125.4,20.2,1784.35,46.3
2002-04-04,66.11,19.76,1126.34,19.78,1789.75,46.349999999999994
2002-04-05,66.67,19.79,1122.73,19.13,1770.03,46.88
2002-04-08,66.85,19.85,1125.29,19.61,1785.87,46.99999999999999
2002-04-09,67.05,19.87,1117.8,19.47,1742.57,47.17999999999999
2002-04-10,67.28,20.08,1130.47,18.19,1767.07,47.2
2002-04-11,66.11,19.83,1103.69,20.3,1725.24,46.28
2002-04-12,66.19,19.95,1111.01,19.42,1756.19,46.239999999999995
2002-04-15,65.61,19.85,1102.55,19.82,1753.78,45.76
2002-04-16,66.64,19.99,1128.37,18.11,1816.79,46.650000000000006
2002-04-17,66.65,20.06,1126.07,18.43,1810.67,46.59
2002-04-18,66.57,20.27,1124.47,19.29,1802.43,46.3
2002-04-19,67.1,20.27,1125.17,18.3,1796.83,46.83
2002-04-22,66.75,20.16,1107.83,19.77,1758.68,46.59
2002-04-23,67.23,20.16,1100.96,20.28,1730.29,47.07000000000001
2002-04-24,67.65,20.19,1093.14,20.77,1713.34,47.46000000000001
2002-04-25,67.41,20.43,1091.48,20.95,1713.7,46.98
